series,id,wk,zh,zh_hl,en,diff,diff_icon,diff_txt,d1,d2,d3,d4,g1,g2,g3a,g3a_num1,g3a_num2,g3b,g3b_num1,g3b_num2,g4,key,sub
STOCK,STOCK-016,股市基礎・配股配息那天錢真的變多了嗎,配息,配息,Cash Dividend,easy,🌱,入門,💰,💵,😊,⚠️,公司將盈餘以<b>現金</b>方式發放給股東,直接拿到現金最直觀，但股價同步扣除,持有,一千股,,每股配息,五元,共拿到五千元現金,配息後股價下降，不是真的多賺了五千元,配息拿到現金・但股價同時扣掉這筆錢,配息是最直觀的股利方式，錢直接進你的帳戶，感覺很踏實。持有一千股、每股配五元，帳戶多了五千元，很開心對不對。但要記住，當天股價也降了五元，你的股票市值少了五千元。一加一減，這一天你的總資產並沒有增加。真正的獲利，是要等到股價填息回到除息前的水位。所以不要只看到拿到多少現金，更要關注公司有沒有能力讓股價持續回升。
STOCK,STOCK-017,股市基礎・配股配息那天錢真的變多了嗎,現金股利,現金股利,Cash Dividend Per Share,easy,🌱,入門,💵,📋,💲,⚠️,公司宣告每股發放的<b>現金金額</b>,殖利率高不代表一定好，要看能不能持續配,股價,一百元,,現金股利,五元,殖利率五%,高殖利率陷阱是配了息但股價持續下跌,現金股利是直接收益・但要看公司能否持續獲利,現金股利就是每股能拿到的現金金額，也是我們計算殖利率的基礎。股價一百元、現金股利五元，殖利率就是五%。聽起來不錯，但有一個陷阱要特別注意，叫做高殖利率陷阱。就是股價因為公司獲利下滑而一直跌，殖利率反而因此算出來很高。這種公司，今年配得出來，明年不一定配得出來。所以看現金股利，不能只看金額，更要看公司有沒有穩定持續的獲利能力來支撐。
STOCK,STOCK-018,股市基礎・配股配息那天錢真的變多了嗎,股票股利,股票股利,Stock Dividend Per Share,easy,🌱,入門,📜,📦,🔢,⚠️,公司宣告每股發放的<b>股票張數</b>比例,股票股利讓股本膨脹，EPS變難看，股價更難漲,持有,一張一千股,,配股一成換成,一千一百股,單價同步調整,股本膨脹是雙面刃，大公司配股要更謹慎,股票股利讓股票變多・但EPS同步被稀釋,股票股利就是公司以發股票的方式來回饋股東，配股一成代表你每一千股可以多拿到一百股。很多投資人看到股票變多很開心，但冷靜想一下：公司發出去這麼多股票，股本跟著膨脹，每股盈餘就被稀釋了。對一家持續高速成長的公司來說還好，因為獲利增速夠快。但如果是一家成長緩慢的公司，股本一直膨脹，EPS越來越難看，股價長期就很難有表現。配股不等於好事，要看公司的成長能力。
STOCK,STOCK-019,股市基礎・你的錢怎麼進股市又怎麼跑回來,證券戶,證券戶,Securities Account,easy,🌱,入門,🏦,📋,💳,⚠️,買賣股票的<b>專屬帳戶</b>，投資第一步,沒有證券戶就無法在台灣買賣股票,開戶需要,身分證,,加上,印章,即可到券商辦理,網路開戶方便但要確認券商資格,證券戶是進入股市的門票・選對券商很重要,證券戶是你進入股票市場的第一道門。沒有證券戶，你就沒有辦法在台灣買賣股票。現在開戶很方便，很多券商都可以線上完成，不用跑去實體門市。但開戶前有一件事很重要，就是選擇哪一家券商。手續費的折扣、交易系統的穩不穩定、客服品質好不好，這些都會影響你之後每天的投資體驗。不要隨便挑一家就開，貨比三家，選一個適合自己交易習慣的券商，這是投資起步很重要的一步。
STOCK,STOCK-020,股市基礎・你的錢怎麼進股市又怎麼跑回來,交割帳戶,交割戶,Settlement Account,easy,🌱,入門,🏧,💸,🔗,⚠️,買賣股票時<b>收付款項</b>的銀行帳戶,買股票的錢從這裡扣，賣股票的錢存進來,買股票,十萬元,,交割日,T加二,從帳戶扣款,帳戶餘額不足會違約交割，後果嚴重,交割戶是股票的金流樞紐・要保持足夠餘額,交割帳戶就是你買賣股票時，款項進出的那個銀行帳戶。買了股票，錢從這裡扣走；賣了股票，錢進到這裡來。聽起來很簡單，但有一個地方很多新手會踩到坑，就是帳戶裡沒有足夠的錢。台灣股票是T加二交割，你今天買的股票，後天才扣款。有些人以為今天買、今天要有錢，其實是後天。但也不能因為這樣就輕忽，帳戶餘額一定要在交割日前備妥，不然就會發生違約交割，後果很嚴重。
STOCK,STOCK-021,股市基礎・你的錢怎麼進股市又怎麼跑回來,集保帳戶,集保,Central Depository Account,easy,🌱,入門,🗄️,📦,🔐,⚠️,存放你持有<b>股票憑證</b>的電子帳戶,股票全面電子化，集保帳戶就是你的股票倉庫,買進,一張台積電,,股票存入,集保帳戶,電子化保管,股票存在集保不需要實體股票，安全便利,集保帳戶是你的股票倉庫・電子化安全保管,集保帳戶是存放你股票的電子倉庫，由台灣集中保管結算所負責管理。以前股票是一張一張的紙，很容易遺失或被盜，現在全面電子化了，你買進的股票自動存入集保帳戶，安全又方便。你可以透過券商的系統查看自己在集保裡有哪些股票、各持有多少股。這個制度大幅提升了台灣股市的安全性，也讓交易更有效率。雖然感覺比較虛，但其實比實體股票安全多了。
STOCK,STOCK-022,股市基礎・你的錢怎麼進股市又怎麼跑回來,入金,入金,Fund Deposit,easy,🌱,入門,💰,➡️,🏦,⚠️,將資金<b>匯入</b>交割帳戶備用,資金到位才能順利買股，不能臨時才想到,預計買,十萬元股票,,交割前要有,十萬元,在帳戶,入金時間點要注意，避免資金未到就下單,入金要提前準備・確保交割日前資金到位,入金就是把資金匯入你的交割帳戶，讓你有錢可以買股票。這個步驟看起來很簡單，但很多新手會忽略一個細節，就是跨行匯款的時間差。不同銀行之間的匯款，有時候要幾個小時甚至隔天才會到帳。如果你今天下午才想到要入金、明天就要買股票，錢可能還沒到。建議養成習慣，計劃好要買股票的時候，提前一天就把錢匯進去，確保交割日前資金一定在帳戶裡，避免不必要的風險。
STOCK,STOCK-023,股市基礎・你的錢怎麼進股市又怎麼跑回來,T加二交割,T加二,T+2 Settlement,easy,🌱,入門,📅,⏱️,💸,⚠️,成交日後<b>第二個營業日</b>完成款項交割,買股要提前備妥資金，賣股兩天後才收到錢,週一買股,成交日,,週三,T加二,完成交割扣款,賣股兩天後才收到錢，急需資金要提前規劃,T加二是股票交割時間表・資金規劃要配合,T加二交割是台灣股市的基本規則，買了股票不是當天就扣款，而是成交日後第二個營業日才完成款項的交割。週一買的股票，週三才扣款；週一賣的股票，週三才收到錢。這個時間差很重要，如果你賣了股票急著要用錢，記得要考慮這兩天的等待時間。很多新手不清楚這個規則，以為賣掉股票馬上有錢可以用，結果資金調度出了問題。了解T加二，才能正確規劃你的投資資金。
STOCK,STOCK-024,股市基礎・你的錢怎麼進股市又怎麼跑回來,違約交割,違約,Default,easy,🌱,入門,🚨,❌,📋,⚠️,交割日<b>帳戶餘額不足</b>，無法完成交割,違約交割會影響信用，嚴重可能被停止交易,買了,十萬元股票,,交割日帳戶只有,五萬元,發生違約,違約後果很嚴重，券商會強制處分股票,違約交割是投資大忌・後果影響深遠要謹慎,違約交割是投資最不能碰的大忌之一。你買了股票，但到了交割日帳戶裡的錢不夠，無法完成付款，就叫做違約交割。後果非常嚴重。券商會強制把你的股票賣掉，同時在金融機構留下不良記錄，嚴重的情況甚至會被停止交易資格。很多人以為這種事不會發生在自己身上，但有時候是因為沒注意T加二的時間差，或者資金調度不當就踩到了。進入股市之前，一定要把這個基本觀念搞清楚，保護自己的信用記錄。
STOCK,STOCK-025,股市基礎・下單這件事沒你想的那麼簡單,限價委託,限價單,Limit Order,easy,🌱,入門,🎯,💲,⏳,⚠️,指定<b>價格</b>才成交的委託方式,可以控制買賣價格，但不保證一定成交,設定買入價,一百元,,市價高於,一百元,就不成交,急著買賣時用限價單可能錯過時機,限價單能控制價格・但不保證一定成交,限價委託是你指定一個價格，只有在這個價格或者更好的條件才會成交。買股票設一百元限價，市價如果漲到一百零一元就不成交，幫你控制買進成本。聽起來很安全，但有一個代價，就是不保證一定買得到。如果股票一直在漲、價格回不來，你就可能因此錯過機會。限價單適合不急著成交、願意等待特定價位的投資人。如果你很急著要買，就要考慮是否用市價單，這中間有取捨。
STOCK,STOCK-026,股市基礎・下單這件事沒你想的那麼簡單,市價委託,市價單,Market Order,easy,🌱,入門,⚡,💹,🎯,⚠️,以<b>當下市場價格</b>立即成交的委託,保證成交但無法控制實際成交價格,急著買進,股票,,以當下,市價,立即成交,市場波動大時市價單可能成交在不好的價格,市價單保證成交・但成交價格由市場決定,市價委託就是不指定價格，以當下市場最好的價格立刻成交。最大的優點是保證買得到或賣得掉，不用擔心掛單掛在那裡等不到。但缺點也很明顯，你無法控制實際的成交價格。在市場平穩的時候這個差異不大，但如果碰到行情波動劇烈，市價單的成交價可能跟你預期差很多。所以市價單適合在需要快速成交、不在乎幾毛錢差異的情況下使用，不適合在股票劇烈震盪時用。
STOCK,STOCK-027,股市基礎・下單這件事沒你想的那麼簡單,ROD,ROD,Rest of Day,easy,🌱,入門,📅,⏰,🔄,⚠️,委託<b>當日有效</b>，收盤前未成交自動取消,最常用的委託效期，適合一般交易情境,下單,限價委託,,當日收盤前,未成交,自動取消,隔天要再次下單，不會自動延續到次日,ROD是最常用效期・當日未成交就結束,ROD是Rest of Day的縮寫，意思是當日有效。你掛了一個限價委託，如果在今天收盤之前沒有成交，這筆委託就自動取消，不會保留到明天。這是台灣股市最常用的委託效期設定，也是大多數投資人最習慣用的方式。要注意的是，如果今天沒買到，明天想繼續等同樣的價格，你需要重新下單。系統不會幫你自動延續，這個細節很多新手會忘記。
STOCK,STOCK-028,股市基礎・下單這件事沒你想的那麼簡單,IOC,IOC,Immediate or Cancel,easy,🌱,入門,⚡,✅,❌,⚠️,立即成交否則<b>立刻取消</b>的委託,適合搶快速行情，不願意等待的交易情境,下單後,立即撮合,,未成交部分,立刻,取消,行情快速時IOC可避免掛單後價格跑掉,IOC立即成交或取消・適合搶快速行情,IOC是Immediate or Cancel的縮寫，立即成交或立刻取消。你送出委託後，系統馬上去撮合，能成交多少就成交多少，剩下沒成交的部分立刻取消，不會留在市場上繼續等。這種方式適合在行情快速變動的時候使用，你不想讓委託掛在那裡等，怕等太久價格跑掉了。IOC讓你更主動控制委託的生命週期，比ROD更靈活，但也比較進階，新手要先了解清楚再使用。
STOCK,STOCK-029,股市基礎・下單這件事沒你想的那麼簡單,FOK,FOK,Fill or Kill,easy,🌱,入門,🎯,✅,❌,⚠️,<b>全部成交</b>否則全部取消的委託,適合需要一次買足特定數量的交易情境,下單買,十張,,無法全部成交就,全部,取消,部分成交不符合需求時才使用FOK,FOK全部成交或全部取消・最嚴格的條件,FOK是Fill or Kill，全部成交或全部取消。這是比IOC更嚴格的條件。你下單要買十張，如果市場上只有五張可以撮合，FOK不會讓你先買五張，而是整筆委託全部取消。只有在你明確需要一次買足特定數量、不接受部分成交的情況下，才需要用到FOK。一般散戶日常交易很少用到這個設定，但了解它的運作邏輯，對你理解整個委託系統是有幫助的。
STOCK,STOCK-030,股市基礎・下單這件事沒你想的那麼簡單,成交回報,成交回報,Trade Confirmation,easy,🌱,入門,📩,✅,📋,⚠️,委託<b>成交後</b>系統發送的確認通知,成交回報是確認買賣完成的依據，要仔細核對,下單後,系統發送,,成交價格,數量,時間通知,成交回報要核對價格和數量，發現錯誤立即聯繫,成交回報是交易憑證・核對內容確保正確,成交回報是委託成交之後，系統發出的確認通知，告訴你這筆交易在什麼時間、用什麼價格、成交了多少張。很多人收到回報之後隨手滑過去就算了，但這其實是一個很重要的核對步驟。成交的價格對不對、數量符不符合你的預期，要仔細確認。如果發現有任何異常，要立刻聯繫券商處理，拖得越久越麻煩。養成每次交易後確認成交回報的習慣，是一個好的投資紀律。
STOCK,STOCK-031,股市基礎・買賣股票要付多少錢給市場,手續費,手續費,Brokerage Fee,easy,🌱,入門,💸,📊,🧾,⚠️,每次買賣股票支付給<b>券商</b>的費用,手續費是確定的投資成本，頻繁交易會大幅侵蝕獲利,交易金額,十萬元,,手續費,千分之一點四二五,最高約一百四十二元,網路下單可折扣，短線交易者要特別注意成本,手續費是固定成本・買賣各付一次不能省,手續費是每次買賣股票支付給券商的費用，法定上限是交易金額的千分之一點四二五。買進付一次、賣出再付一次，一來一回就是千分之二點八五的成本。現在很多券商提供網路下單折扣，可以打到三到六折不等。但即使有折扣，頻繁交易的人累積下來的手續費還是很可觀的。我常說，手續費是投資裡最確定的成本，不管你賺不賺，這筆錢一定要付。短線交易者一定要把這個計算進去。
STOCK,STOCK-032,股市基礎・買賣股票要付多少錢給市場,證交稅,證交稅,Securities Transaction Tax,easy,🌱,入門,🏛️,💸,📋,⚠️,賣出股票時繳給<b>政府</b>的稅，千分之三,只有賣出才收，買進不用繳，是投資的固定稅負,賣出股票,十萬元,,證交稅,千分之三,等於三百元,證交稅是賣股必繳，計算報酬率要算進去,證交稅只在賣出時收・是投資的固定稅負,證交稅是賣出股票時一定要繳給政府的稅，稅率是交易金額的千分之三，注意只有賣出時才收，買進不用繳。賣出十萬元的股票，就要繳三百元的證交稅。聽起來不多，但如果你頻繁交易，累積起來就很可觀了。很多人在計算一筆投資的報酬率時，只想到買進賣出的價差，忘了把手續費和證交稅一起算進去，這樣的報酬率計算是不準確的。每次交易前都要把這些成本考慮進去。
STOCK,STOCK-033,股市基礎・買賣股票要付多少錢給市場,圈存,圈存,Fund Reservation,easy,🌱,入門,🔒,💰,📋,⚠️,買股下單時<b>預先凍結</b>帳戶對應金額,圈存保障交割資金充足，避免違約風險,下單買,十萬元股票,,帳戶圈存,十萬元,等待交割,圈存期間這筆錢不能動，要預留足夠資金,圈存是資金預凍結・確保交割順利完成,圈存是你下單買股票的同時，系統自動把交割帳戶裡對應金額凍結起來的機制。這筆被凍結的錢，在交割完成之前你是動不了的。這個設計是為了確保到了交割日，帳戶裡一定有足夠的錢完成付款，避免違約交割。所以如果你計畫同時買好幾檔股票，要記得帳戶裡的總金額要夠用，不然可能下單到一半才發現錢被前幾筆圈存用光了。事先規劃好資金的分配非常重要。
STOCK,STOCK-034,股市基礎・買賣股票要付多少錢給市場,停損單,停損單,Stop Loss Order,easy,🌱,入門,🛑,📉,🔒,⚠️,股價跌到<b>設定價位</b>自動賣出的保護機制,停損單是風險控制的工具，幫你限制最大損失,買進,一百元,,設停損,九十元,跌到自動賣出,停損後仍可能滑價，實際成交不一定剛好,停損單是風控工具・不用守著盤面也能保護,停損單是我覺得每個投資人都應該善用的工具。你預先設定一個價位，股價跌到那個點就自動觸發賣出，幫你把虧損控制在可以接受的範圍內。買進一百元、設停損九十元，最壞的情況就是虧一成出場，不會繼續惡化下去。有些人覺得設停損是認輸，我不這樣想，我覺得停損是對自己資本的保護。市場隨時可能出現你意料不到的情況，停損單讓你不需要整天盯著盤，也能保護好自己的本金。
STOCK,STOCK-035,股市基礎・買賣股票要付多少錢給市場,停利單,停利單,Take Profit Order,easy,🌱,入門,🎯,📈,✅,⚠️,股價漲到<b>設定價位</b>自動賣出鎖定獲利,停利單幫你克服貪婪，在目標達到時自動出場,買進,一百元,,設停利,一百二十元,漲到自動賣出,停利後繼續漲會後悔，但保住獲利才是重點,停利單鎖定獲利・克服貪婪讓報酬落袋為安,停利單是預先設定你的獲利目標，股價漲到那個點就自動賣出把獲利鎖住。很多投資人捨不得設停利，覺得賣了之後繼續漲怎麼辦。但問題是，不設停利，很多人反而因為貪心，看著獲利從三成回落到一成、甚至變成虧損，最後沮喪出場。報酬落袋才是真正的獲利，帳面上的數字可以消失得很快。設好停利單，讓系統幫你克服人性的貪婪，是一個很實用的投資紀律。
STOCK,STOCK-036,股市基礎・買賣股票要付多少錢給市場,現股當沖,當沖,Same-Day Trading,easy,🌱,入門,⚡,🔄,💸,⚠️,同一天買進又賣出，<b>不需要實際交割</b>款項,當沖免準備資金但手續費和稅成本很高,早上買,十萬元股票,,下午賣出,結算差價,不需準備十萬,當沖成本高，多數散戶做當沖是在賠錢,當沖是高成本遊戲・散戶勝率統計很不樂觀,現股當沖是同一天買進再賣出，只結算差價、不需要準備完整的交割資金。聽起來很吸引人，門檻好像很低。但算一下成本你就知道，手續費買賣各一次、再加上千分之一點五的當沖證交稅，每次交易光是成本就要扣掉一定比例。要賺錢，股價的波動必須超過這個成本才行。統計數字告訴我們，大多數做當沖的散戶是虧損的。如果你想嘗試，先用小金額測試，搞清楚成本結構再說。
STOCK,STOCK-037,股市基礎・零股興櫃盤後你不知道的交易時間,零股,零股,Odd Lot,easy,🌱,入門,🧩,💰,📱,⚠️,不足一張<b>一千股</b>的股票買賣方式,讓小資族也能投資高價股，降低入門門檻,台積電一張約,數十萬元,,買一股只需要,數百元,即可入門,零股流動性較差，成交速度比整張慢,零股讓小資族也能參與・但流動性較差,零股交易讓資金不多的投資人也能參與高價股。台積電一張要好幾十萬，但如果只買一股，幾百元就能入門。這對想要定期定額、慢慢累積持股的小資族來說，是一個很好的方式。但零股有一個要注意的地方，就是流動性比整張差，成交速度比較慢，有時候掛單要等比較久才成交，甚至當天掛不到。如果你急著要在特定時間點買入，零股可能不是最好的選擇。
STOCK,STOCK-038,股市基礎・零股興櫃盤後你不知道的交易時間,盤後零股,盤後零股,After-Hours Odd Lot,easy,🌱,入門,🌙,🧩,⏰,⚠️,收盤後<b>下午兩點到兩點半</b>進行的零股交易,盤後零股用收盤價成交，價格確定沒有滑價,下午,兩點,,到,兩點半,進行零股申報,盤後零股用收盤價成交，但要等到下午才知道,盤後零股用收盤價・價格確定是最大優勢,盤後零股是收盤之後、下午兩點到兩點半這個時段進行的零股交易，以當天的收盤價來成交。最大的優點是價格確定，你知道你會用多少錢買到，不會有盤中的滑價問題。對於想要長期定期定額投資、不想花時間盯著盤的人來說非常適合。唯一的缺點是要等到下午才能交易，如果今天有重大利多消息、想搶在漲停前買入，盤後零股就幫不上忙了。
